OBJECTID_1,Shape,OBJECTID,Name,GPD21,GPD20,GDP,POINT_X,POINT_Y,POINT_Z,POINT_M
1,System.__ComObject,1,迁西县,368.44,322.5,368.44,118.360082245599,40.2316210154975,0,NaN
2,System.__ComObject,2,滦南县,310.27,291.1,310.27,118.591668097405,39.4527255442485,0,NaN
3,System.__ComObject,3,乐亭县,734.07,580.83,734.07,118.931918229842,39.3410774407713,0,NaN
4,System.__ComObject,4,玉田县,314.36,280.52,314.36,117.725684716377,39.812442712861,0,NaN
5,System.__ComObject,5,古冶区,266.59,243.85,266.59,118.430995271015,39.7134409569347,0,NaN
6,System.__ComObject,6,开平区,152.91,152.24,152.91,118.27135158201,39.7005389330254,0,NaN
7,System.__ComObject,7,路南区,308.11,274.68,308.11,118.004292453234,39.4257507526951,0,NaN
8,System.__ComObject,8,路北区,566.06,540.22,566.06,118.112028743232,39.6463902238298,0,NaN
9,System.__ComObject,9,丰润区,980.04,929.62,980.04,118.079272798401,39.8193274449057,0,NaN
10,System.__ComObject,10,曹妃甸区,850.63,682.37,850.63,118.408375270203,39.1914941419412,0,NaN
11,System.__ComObject,11,丰南区,840.1,680.9,840.1,118.152638553826,39.4480499779242,0,NaN
12,System.__ComObject,12,涿州市,371.43,351.34,371.43,115.986931745704,39.4749496814827,0,NaN
13,System.__ComObject,13,高碑店市,303.57,274.24,303.57,116.028084894303,39.2582247217935,0,NaN
14,System.__ComObject,14,定州市,363.73,342,363.73,115.044735860172,38.4600035850974,0,NaN
15,System.__ComObject,15,安国市,122.17,106.88,122.17,115.322811225358,38.3846947076947,0,NaN
16,System.__ComObject,16,高阳县,115.54,101.4,115.54,115.824948242867,38.6669264219169,0,NaN
17,System.__ComObject,17,容城县,114.24,89.01,114.24,115.895408589135,39.0524034564544,0,NaN
18,System.__ComObject,18,易县,124.6,118.32,124.6,115.240537483618,39.3097251568905,0,NaN
19,System.__ComObject,19,曲阳县,135.58,121.52,135.58,114.648619026547,38.7000465364186,0,NaN
20,System.__ComObject,20,望都县,77.97,69.97,77.97,115.165963464742,38.6713129065654,0,NaN
21,System.__ComObject,21,安新县,87.52,75.96,87.52,115.872354763462,38.8726272671347,0,NaN
22,System.__ComObject,22,博野县,66.82,55.96,66.82,115.474962636317,38.4527329197884,0,NaN
23,System.__ComObject,23,雄县,102.92,83.62,102.92,116.169445206931,39.0373679699559,0,NaN
24,System.__ComObject,24,蠡县,131.77,118.86,131.77,115.656951607531,38.5224759173298,0,NaN
25,System.__ComObject,25,顺平县,87.55,77.21,87.55,115.060330555011,38.921120794689,0,NaN
26,System.__ComObject,26,涞源县,81.17,70.11,81.17,114.716725187817,39.3592335325015,0,NaN
27,System.__ComObject,27,清苑区,160.46,144.88,160.46,115.477316723288,38.717508476535,0,NaN
28,System.__ComObject,28,徐水区,200.79,249.17,200.79,115.568657758149,39.0356724520221,0,NaN
29,System.__ComObject,29,莲池区,585.14,455.16,585.14,115.507621827585,38.8550014372666,0,NaN
30,System.__ComObject,30,满城区,143.05,126.58,143.05,115.248873146778,38.9698952092965,0,NaN
31,System.__ComObject,31,涞水县,101.23,91.77,101.23,115.431696127674,39.6089550686216,0,NaN
32,System.__ComObject,32,定兴县,192.18,167.21,192.18,115.742268070515,39.2046435648487,0,NaN
33,System.__ComObject,33,唐县,142.56,124.63,142.56,114.793924951875,38.8967016308756,0,NaN
34,System.__ComObject,34,阜平县,57.91,50.15,57.91,114.152437802563,38.8870282666413,0,NaN
35,System.__ComObject,35,竞秀区,523.35,477.95,523.35,115.407924986549,38.8846858879434,0,NaN
36,System.__ComObject,36,深州市,170.93,159.32,170.93,115.575708798223,37.9508292556657,0,NaN
37,System.__ComObject,37,阜城县,91.1,82.69,91.1,116.317542651272,37.9064097568049,0,NaN
38,System.__ComObject,38,景县,186.47,168.81,186.47,116.189901358861,37.66037999614,0,NaN
39,System.__ComObject,39,故城县,124.09,112.4,124.09,115.964972789763,37.3478215030599,0,NaN
40,System.__ComObject,40,枣强县,125.5,115.91,125.5,115.746049648672,37.4571499977743,0,NaN
41,System.__ComObject,41,安平县,154.02,139.81,154.02,115.477922923904,38.2378025581416,0,NaN
42,System.__ComObject,42,饶阳县,102.04,94.71,102.04,115.728220755484,38.2172889341371,0,NaN
43,System.__ComObject,43,武强县,77.68,69.48,77.68,115.909807188351,38.0442286354432,0,NaN
44,System.__ComObject,44,武邑县,92.84,87.82,92.84,115.934628840149,37.8204428978215,0,NaN
45,System.__ComObject,45,遵化市,507.24,450.24,507.24,117.943581615,40.1307659169136,0,NaN
46,System.__ComObject,46,滦州市,473.78,416.13,473.78,118.573967679565,39.7780445933834,0,NaN
47,System.__ComObject,47,迁安市,1160.29,1006.91,1160.29,118.676061740857,40.0333522881776,0,NaN
48,System.__ComObject,48,冀州区,124.3,111.01,124.3,115.45731178641,37.5485606077859,0,NaN
49,System.__ComObject,49,桃城区,431.5,398.88,431.5,115.655322781521,37.7172355576749,0,NaN
50,System.__ComObject,50,卢龙县,132.13,121.71,132.13,118.973737080002,39.9167895884688,0,NaN
51,System.__ComObject,51,昌黎县,337.25,302.08,337.25,119.090725412648,39.6259611019234,0,NaN
52,System.__ComObject,52,山海关区,86.51,78.8,86.51,119.734082651793,40.0190311313817,0,NaN
53,System.__ComObject,53,北戴河区,69.41,65.19,69.41,119.420045086911,39.8445593008711,0,NaN
54,System.__ComObject,54,海港区,899.27,814.22,899.27,119.58104751663,40.0741383308194,0,NaN
55,System.__ComObject,55,抚宁区,135.51,132.01,135.51,119.264541835238,39.9591466190213,0,NaN
56,System.__ComObject,56,阳原县,57.85,54.07,57.85,114.380930657424,40.1315342248247,0,NaN
57,System.__ComObject,57,怀安县,102.59,93.56,102.59,114.48957571145,40.551414254964,0,NaN
58,System.__ComObject,58,赤城县,66.23,65.55,66.23,115.879057804574,40.9487203286803,0,NaN
59,System.__ComObject,59,怀来县,142.1,133.89,142.1,115.621827639834,40.3409483653748,0,NaN
60,System.__ComObject,60,涿鹿县,96.42,90.14,96.42,115.211969485503,40.0947503001863,0,NaN
61,System.__ComObject,61,万全区,82.33,74.47,82.33,114.599056050396,40.8388019344617,0,NaN
62,System.__ComObject,62,宣化区,179.74,174.54,179.74,115.043656583784,40.5259778634876,0,NaN
63,System.__ComObject,63,下花园区,24.69,23.21,24.69,115.305435792828,40.5401554902837,0,NaN
64,System.__ComObject,64,崇礼区,37.18,34.12,37.18,115.207938347277,41.0182419581,0,NaN
65,System.__ComObject,65,张北县,138.55,121.78,138.55,114.75968286837,41.2852503678103,0,NaN
66,System.__ComObject,66,尚义县,56.6,52.61,56.6,114.13952394987,41.123185694864,0,NaN
67,System.__ComObject,67,蔚县,87.97,84.06,87.97,114.698558850111,39.8721990304609,0,NaN
68,System.__ComObject,68,康保县,65,61.46,65,114.59145243718,41.7750328443903,0,NaN
69,System.__ComObject,69,沽源县,86.14,78.67,86.14,115.623939432359,41.5712749107086,0,NaN
70,System.__ComObject,70,桥西区,775.87,743.09,775.87,114.854986192958,40.7880375099232,0,NaN
71,System.__ComObject,71,桥东区,382.96,345.95,382.96,115.043806033122,40.7567603023462,0,NaN
